class,group,AUC,CI_AUC_low,CI_AUC_up,AUPRC,CI_AUPRC_low,CI_AUPRC_up,baseline_auprc
Atelectasis,global,0.67,0.65,0.68,0.21,0.19,0.25,0.14
Atelectasis,Female,0.67,0.65,0.69,0.19,0.16,0.24,0.13
Atelectasis,Male,0.67,0.65,0.69,0.24,0.19,0.28,0.15
Atelectasis,White,0.66,0.64,0.68,0.2,0.17,0.24,0.14
Atelectasis,Black,0.71,0.68,0.75,0.3,0.24,0.4,0.12
Atelectasis,Asian,0.61,0.45,0.77,0.27,0.05,0.6,0.1
Atelectasis,18-25,0.77,0.66,0.86,0.29,0.17,0.56,0.05
Atelectasis,25-50,0.76,0.72,0.79,0.3,0.23,0.39,0.08
Atelectasis,50-65,0.68,0.65,0.71,0.22,0.18,0.28,0.13
Atelectasis,65-80,0.64,0.61,0.67,0.22,0.17,0.29,0.16
Atelectasis,80+,0.57,0.53,0.6,0.1,0.05,0.18,0.18
Cardiomegaly,global,0.85,0.83,0.86,0.6,0.57,0.64,0.08
Cardiomegaly,Female,0.86,0.84,0.88,0.62,0.57,0.67,0.09
Cardiomegaly,Male,0.83,0.81,0.85,0.59,0.54,0.64,0.07
Cardiomegaly,White,0.84,0.83,0.86,0.59,0.55,0.63,0.07
Cardiomegaly,Black,0.86,0.83,0.88,0.63,0.56,0.71,0.09
Cardiomegaly,Asian,0.87,0.73,0.97,0.77,0.58,0.91,0.1
Cardiomegaly,18-25,0.85,0.73,0.95,0.49,0.3,0.76,0.04
Cardiomegaly,25-50,0.87,0.83,0.91,0.71,0.61,0.79,0.04
Cardiomegaly,50-65,0.87,0.84,0.89,0.62,0.53,0.7,0.05
Cardiomegaly,65-80,0.84,0.81,0.86,0.61,0.54,0.67,0.08
Cardiomegaly,80+,0.77,0.74,0.8,0.49,0.42,0.57,0.14
Consolidation,global,0.8,0.78,0.83,0.34,0.29,0.4,0.03
Consolidation,Female,0.78,0.74,0.82,0.29,0.23,0.41,0.02
Consolidation,Male,0.82,0.79,0.84,0.37,0.31,0.46,0.03
Consolidation,White,0.8,0.78,0.83,0.33,0.28,0.41,0.03
Consolidation,Black,0.79,0.73,0.85,0.38,0.25,0.57,0.02
Consolidation,Asian,0.81,0.0,1.0,0.66,0.0,1.0,0.03
Consolidation,18-25,0.85,0.77,0.93,0.4,0.0,1.0,0.04
Consolidation,25-50,0.85,0.76,0.92,0.37,0.3,0.49,0.01
Consolidation,50-65,0.81,0.77,0.85,0.33,0.25,0.47,0.02
Consolidation,65-80,0.78,0.73,0.82,0.37,0.28,0.49,0.03
Consolidation,80+,0.76,0.7,0.81,0.32,0.21,0.47,0.04
Pleural Effusion,global,0.88,0.87,0.89,0.7,0.68,0.72,0.17
Pleural Effusion,Female,0.9,0.89,0.91,0.74,0.71,0.77,0.16
Pleural Effusion,Male,0.87,0.85,0.88,0.65,0.62,0.69,0.17
Pleural Effusion,White,0.88,0.87,0.89,0.69,0.66,0.72,0.18
Pleural Effusion,Black,0.92,0.9,0.93,0.76,0.71,0.81,0.12
Pleural Effusion,Asian,0.82,0.74,0.89,0.61,0.42,0.79,0.19
Pleural Effusion,18-25,0.93,0.88,0.96,0.66,0.52,0.84,0.09
Pleural Effusion,25-50,0.92,0.9,0.94,0.7,0.63,0.77,0.07
Pleural Effusion,50-65,0.89,0.87,0.9,0.72,0.68,0.77,0.14
Pleural Effusion,65-80,0.86,0.85,0.88,0.66,0.62,0.7,0.2
Pleural Effusion,80+,0.85,0.83,0.87,0.67,0.62,0.72,0.25
Pneumonia,global,0.68,0.66,0.7,0.28,0.24,0.33,0.07
Pneumonia,Female,0.68,0.65,0.72,0.31,0.24,0.38,0.07
Pneumonia,Male,0.68,0.65,0.71,0.26,0.21,0.33,0.07
Pneumonia,White,0.68,0.66,0.7,0.27,0.23,0.33,0.07
Pneumonia,Black,0.67,0.62,0.72,0.33,0.21,0.46,0.06
Pneumonia,Asian,0.55,0.3,0.8,0.1,0.0,1.0,0.03
Pneumonia,18-25,0.75,0.59,0.91,0.66,0.16,0.88,0.05
Pneumonia,25-50,0.73,0.68,0.78,0.44,0.33,0.56,0.06
Pneumonia,50-65,0.71,0.67,0.75,0.39,0.31,0.49,0.07
Pneumonia,65-80,0.66,0.62,0.69,0.23,0.16,0.32,0.07
Pneumonia,80+,0.6,0.55,0.64,0.15,0.08,0.24,0.08
Pneumothorax,global,0.8,0.78,0.82,0.36,0.31,0.43,0.03
Pneumothorax,Female,0.82,0.79,0.85,0.44,0.34,0.53,0.03
Pneumothorax,Male,0.77,0.74,0.8,0.31,0.25,0.4,0.04
Pneumothorax,White,0.78,0.76,0.81,0.35,0.29,0.43,0.04
Pneumothorax,Black,0.87,0.82,0.92,0.45,0.31,0.67,0.01
Pneumothorax,Asian,0.71,0.0,1.0,0.27,0.0,1.0,0.03
Pneumothorax,18-25,0.74,0.65,0.83,0.31,0.16,0.56,0.1
Pneumothorax,25-50,0.87,0.83,0.91,0.45,0.37,0.56,0.03
Pneumothorax,50-65,0.81,0.76,0.85,0.46,0.31,0.59,0.03
Pneumothorax,65-80,0.81,0.77,0.84,0.38,0.29,0.47,0.04
Pneumothorax,80+,0.77,0.7,0.83,0.39,0.22,0.56,0.02
