class,group,AUC,CI_AUC_low,CI_AUC_up,AUPRC,CI_AUPRC_low,CI_AUPRC_up,baseline_auprc
Atelectasis,global,0.61,0.59,0.63,0.18,0.15,0.22,0.14
Atelectasis,Female,0.62,0.6,0.65,0.2,0.15,0.25,0.13
Atelectasis,Male,0.59,0.57,0.62,0.17,0.13,0.22,0.15
Atelectasis,White,0.6,0.59,0.62,0.17,0.14,0.21,0.14
Atelectasis,Black,0.64,0.59,0.68,0.24,0.16,0.34,0.12
Atelectasis,Asian,0.55,0.38,0.73,0.33,0.0,0.64,0.1
Atelectasis,18-25,0.57,0.38,0.76,0.42,0.0,0.76,0.05
Atelectasis,25-50,0.61,0.56,0.66,0.14,0.08,0.24,0.08
Atelectasis,50-65,0.6,0.57,0.64,0.19,0.13,0.27,0.13
Atelectasis,65-80,0.58,0.55,0.61,0.13,0.08,0.19,0.16
Atelectasis,80+,0.58,0.54,0.61,0.17,0.1,0.25,0.18
Cardiomegaly,global,0.55,0.53,0.58,0.06,0.03,0.09,0.08
Cardiomegaly,Female,0.59,0.55,0.62,0.11,0.06,0.16,0.09
Cardiomegaly,Male,0.53,0.49,0.56,0.03,0.0,0.08,0.07
Cardiomegaly,White,0.56,0.54,0.58,0.06,0.03,0.1,0.07
Cardiomegaly,Black,0.52,0.48,0.57,0.04,0.0,0.12,0.09
Cardiomegaly,Asian,0.72,0.57,0.86,0.5,0.21,0.74,0.1
Cardiomegaly,18-25,0.49,0.24,0.76,0.29,0.0,0.71,0.04
Cardiomegaly,25-50,0.53,0.46,0.59,0.03,0.0,0.16,0.04
Cardiomegaly,50-65,0.5,0.45,0.55,0.0,0.0,0.07,0.05
Cardiomegaly,65-80,0.5,0.46,0.54,0.01,0.0,0.08,0.08
Cardiomegaly,80+,0.56,0.52,0.59,0.05,0.01,0.11,0.14
Consolidation,global,0.48,0.46,0.49,-0.01,0.0,-0.0,0.03
Consolidation,Female,0.49,0.46,0.51,-0.01,0.0,0.0,0.02
Consolidation,Male,0.48,0.46,0.5,-0.01,0.0,-0.0,0.03
Consolidation,White,0.48,0.47,0.5,-0.01,0.0,-0.0,0.03
Consolidation,Black,0.47,0.41,0.51,-0.02,0.0,0.01,0.02
Consolidation,Asian,0.42,0.0,1.0,-0.04,0.0,1.0,0.03
Consolidation,18-25,0.51,0.5,0.52,0.01,0.0,1.0,0.04
Consolidation,25-50,0.42,0.33,0.49,-0.03,0.0,-0.01,0.01
Consolidation,50-65,0.49,0.46,0.51,-0.01,0.0,0.0,0.02
Consolidation,65-80,0.48,0.45,0.5,-0.01,0.0,0.0,0.03
Consolidation,80+,0.5,0.47,0.52,-0.0,0.0,0.01,0.04
Pleural Effusion,global,0.67,0.66,0.69,0.35,0.31,0.38,0.17
Pleural Effusion,Female,0.71,0.69,0.73,0.42,0.37,0.47,0.16
Pleural Effusion,Male,0.64,0.62,0.66,0.29,0.24,0.34,0.17
Pleural Effusion,White,0.66,0.64,0.68,0.32,0.28,0.36,0.18
Pleural Effusion,Black,0.72,0.68,0.76,0.44,0.35,0.53,0.12
Pleural Effusion,Asian,0.69,0.56,0.81,0.54,0.32,0.72,0.19
Pleural Effusion,18-25,0.62,0.43,0.79,0.43,0.09,0.69,0.09
Pleural Effusion,25-50,0.7,0.65,0.75,0.49,0.37,0.6,0.07
Pleural Effusion,50-65,0.68,0.65,0.71,0.37,0.3,0.44,0.14
Pleural Effusion,65-80,0.64,0.62,0.67,0.29,0.23,0.36,0.2
Pleural Effusion,80+,0.63,0.6,0.66,0.28,0.22,0.36,0.25
Pneumonia,global,0.48,0.46,0.5,-0.02,0.0,0.02,0.07
Pneumonia,Female,0.48,0.45,0.52,-0.01,0.0,0.05,0.07
Pneumonia,Male,0.47,0.44,0.5,-0.02,0.0,0.03,0.07
Pneumonia,White,0.49,0.46,0.51,-0.01,0.0,0.03,0.07
Pneumonia,Black,0.44,0.38,0.49,-0.06,0.0,0.01,0.06
Pneumonia,Asian,0.47,0.32,0.64,0.02,0.0,1.0,0.03
Pneumonia,18-25,0.47,0.29,0.65,0.0,0.0,0.19,0.05
Pneumonia,25-50,0.47,0.4,0.53,0.09,0.0,0.27,0.06
Pneumonia,50-65,0.48,0.44,0.52,-0.01,0.0,0.08,0.07
Pneumonia,65-80,0.48,0.43,0.52,-0.02,0.0,0.04,0.07
Pneumonia,80+,0.48,0.43,0.53,-0.02,0.0,0.05,0.08
Pneumothorax,global,0.45,0.41,0.48,-0.01,0.0,0.09,0.03
Pneumothorax,Female,0.47,0.42,0.51,-0.01,0.0,0.12,0.03
Pneumothorax,Male,0.42,0.37,0.46,-0.0,0.0,0.13,0.04
Pneumothorax,White,0.44,0.41,0.47,-0.01,0.0,0.09,0.04
Pneumothorax,Black,0.43,0.34,0.53,-0.04,0.0,0.03,0.01
Pneumothorax,Asian,0.54,0.0,1.0,0.07,0.0,1.0,0.03
Pneumothorax,18-25,0.52,0.39,0.66,0.05,0.0,0.27,0.1
Pneumothorax,25-50,0.43,0.37,0.49,-0.06,0.0,-0.02,0.03
Pneumothorax,50-65,0.52,0.45,0.59,0.14,0.0,0.36,0.03
Pneumothorax,65-80,0.47,0.41,0.53,-0.02,0.0,0.09,0.04
Pneumothorax,80+,0.38,0.29,0.48,0.2,0.0,0.43,0.02
