class,group,AUC,CI_AUC_low,CI_AUC_up,AUPRC,CI_AUPRC_low,CI_AUPRC_up,baseline_auprc
Atelectasis,global,0.8,0.79,0.82,0.54,0.51,0.57,0.14
Atelectasis,Female,0.81,0.79,0.83,0.54,0.5,0.59,0.13
Atelectasis,Male,0.8,0.78,0.82,0.54,0.49,0.58,0.15
Atelectasis,White,0.8,0.78,0.81,0.53,0.5,0.57,0.14
Atelectasis,Black,0.83,0.8,0.86,0.55,0.49,0.62,0.12
Atelectasis,Asian,0.89,0.77,0.99,0.86,0.74,0.96,0.1
Atelectasis,18-25,0.75,0.61,0.88,0.29,0.14,0.56,0.05
Atelectasis,25-50,0.84,0.8,0.87,0.6,0.52,0.68,0.08
Atelectasis,50-65,0.82,0.8,0.84,0.52,0.47,0.58,0.13
Atelectasis,65-80,0.81,0.79,0.83,0.59,0.55,0.64,0.16
Atelectasis,80+,0.72,0.69,0.75,0.42,0.35,0.49,0.18
Cardiomegaly,global,0.8,0.78,0.81,0.52,0.48,0.56,0.08
Cardiomegaly,Female,0.81,0.79,0.84,0.55,0.51,0.61,0.09
Cardiomegaly,Male,0.78,0.76,0.8,0.49,0.43,0.55,0.07
Cardiomegaly,White,0.79,0.77,0.81,0.51,0.46,0.56,0.07
Cardiomegaly,Black,0.83,0.8,0.86,0.55,0.46,0.63,0.09
Cardiomegaly,Asian,0.78,0.65,0.9,0.64,0.34,0.82,0.1
Cardiomegaly,18-25,0.85,0.7,0.97,0.62,0.28,0.87,0.04
Cardiomegaly,25-50,0.78,0.73,0.84,0.56,0.43,0.68,0.04
Cardiomegaly,50-65,0.82,0.78,0.85,0.52,0.44,0.61,0.05
Cardiomegaly,65-80,0.77,0.74,0.8,0.51,0.43,0.58,0.08
Cardiomegaly,80+,0.75,0.72,0.78,0.45,0.39,0.53,0.14
Consolidation,global,0.84,0.82,0.86,0.4,0.36,0.46,0.03
Consolidation,Female,0.82,0.79,0.86,0.34,0.28,0.41,0.02
Consolidation,Male,0.84,0.82,0.87,0.45,0.38,0.53,0.03
Consolidation,White,0.83,0.81,0.85,0.4,0.35,0.47,0.03
Consolidation,Black,0.85,0.79,0.9,0.4,0.32,0.55,0.02
Consolidation,Asian,0.87,0.79,0.95,0.47,0.31,0.79,0.03
Consolidation,18-25,0.85,0.76,0.94,0.45,0.28,0.71,0.04
Consolidation,25-50,0.88,0.79,0.94,0.47,0.37,0.66,0.01
Consolidation,50-65,0.84,0.8,0.88,0.42,0.33,0.54,0.02
Consolidation,65-80,0.81,0.77,0.85,0.37,0.3,0.48,0.03
Consolidation,80+,0.81,0.77,0.85,0.5,0.37,0.62,0.04
Pleural Effusion,global,0.92,0.91,0.93,0.81,0.79,0.83,0.17
Pleural Effusion,Female,0.93,0.92,0.94,0.82,0.8,0.85,0.16
Pleural Effusion,Male,0.91,0.9,0.92,0.8,0.77,0.82,0.17
Pleural Effusion,White,0.92,0.91,0.92,0.8,0.78,0.82,0.18
Pleural Effusion,Black,0.95,0.93,0.96,0.87,0.84,0.9,0.12
Pleural Effusion,Asian,0.88,0.82,0.93,0.65,0.49,0.82,0.19
Pleural Effusion,18-25,0.95,0.92,0.98,0.8,0.65,0.93,0.09
Pleural Effusion,25-50,0.95,0.93,0.96,0.82,0.77,0.88,0.07
Pleural Effusion,50-65,0.93,0.91,0.94,0.83,0.79,0.86,0.14
Pleural Effusion,65-80,0.91,0.89,0.92,0.78,0.75,0.81,0.2
Pleural Effusion,80+,0.9,0.88,0.91,0.79,0.76,0.83,0.25
Pneumonia,global,0.74,0.72,0.76,0.46,0.41,0.51,0.07
Pneumonia,Female,0.73,0.7,0.76,0.48,0.42,0.55,0.07
Pneumonia,Male,0.75,0.72,0.77,0.44,0.38,0.51,0.07
Pneumonia,White,0.74,0.72,0.76,0.48,0.43,0.52,0.07
Pneumonia,Black,0.74,0.68,0.79,0.43,0.32,0.55,0.06
Pneumonia,Asian,0.64,0.45,0.83,0.16,0.07,0.44,0.03
Pneumonia,18-25,0.8,0.66,0.95,0.73,0.25,0.91,0.05
Pneumonia,25-50,0.78,0.73,0.83,0.57,0.45,0.66,0.06
Pneumonia,50-65,0.74,0.7,0.78,0.51,0.42,0.6,0.07
Pneumonia,65-80,0.74,0.71,0.78,0.43,0.35,0.52,0.07
Pneumonia,80+,0.67,0.62,0.72,0.33,0.23,0.44,0.08
Pneumothorax,global,0.88,0.86,0.91,0.74,0.7,0.78,0.03
Pneumothorax,Female,0.9,0.86,0.94,0.77,0.71,0.83,0.03
Pneumothorax,Male,0.87,0.83,0.89,0.71,0.65,0.77,0.04
Pneumothorax,White,0.88,0.86,0.9,0.74,0.69,0.78,0.04
Pneumothorax,Black,0.9,0.81,0.97,0.78,0.63,0.89,0.01
Pneumothorax,Asian,0.63,0.46,0.79,0.13,0.09,0.36,0.03
Pneumothorax,18-25,0.96,0.92,0.99,0.89,0.78,0.97,0.1
Pneumothorax,25-50,0.91,0.84,0.96,0.84,0.78,0.9,0.03
Pneumothorax,50-65,0.89,0.85,0.93,0.71,0.61,0.79,0.03
Pneumothorax,65-80,0.88,0.84,0.91,0.71,0.64,0.78,0.04
Pneumothorax,80+,0.79,0.71,0.86,0.54,0.35,0.68,0.02
